entry,exit,dir,entry_p,exit_p,pnl_pct,bars,reason,entry_session
2026-05-04 22:01:00+00:00,2026-05-05 01:12:00+00:00,LONG,27778.75,27796.25,0.000629977950771723,191,augx_exit_take_profit_tp3,overnight
2026-05-05 04:09:00+00:00,2026-05-05 06:00:00+00:00,LONG,27847.5,27862.25,0.000529670526977287,111,augx_exit_take_profit_tp3,overnight
2026-05-05 06:55:00+00:00,2026-05-05 07:06:00+00:00,LONG,27883.25,27890.5,0.00026001273165789497,11,augx_exit_take_profit_tp3,overnight
2026-05-05 22:25:00+00:00,2026-05-05 22:37:00+00:00,LONG,28275.5,28290.0,0.0005128114445367898,12,augx_exit_take_profit_tp3,overnight
2026-05-06 03:12:00+00:00,2026-05-06 03:25:00+00:00,LONG,28299.5,28314.25,0.0005212106220957968,13,augx_exit_take_profit_tp3,overnight
2026-05-06 04:50:00+00:00,2026-05-06 05:59:00+00:00,LONG,28341.75,28355.0,0.0004675081813931744,69,augx_exit_take_profit_tp3,overnight
2026-05-06 07:39:00+00:00,2026-05-06 08:00:00+00:00,LONG,28334.0,28350.25,0.0005735159172725348,21,augx_exit_take_profit_tp3,london
2026-05-06 08:54:00+00:00,2026-05-06 08:55:00+00:00,LONG,28460.5,28510.75,0.0017656049612621001,1,augx_exit_take_profit_tp3,london
2026-05-06 22:55:00+00:00,2026-05-06 23:10:00+00:00,LONG,28675.75,28689.0,0.000462062892862436,15,augx_exit_take_profit_tp3,overnight
2026-05-07 01:19:00+00:00,2026-05-07 01:40:00+00:00,LONG,28669.5,28688.0,0.0006452850590348628,21,augx_exit_take_profit_tp3,overnight
2026-05-07 03:43:00+00:00,2026-05-07 04:16:00+00:00,LONG,28696.0,28706.25,0.00035719264008921106,23,augx_exit_take_profit_tp3,overnight
2026-05-07 05:37:00+00:00,2026-05-07 05:41:00+00:00,LONG,28716.0,28727.0,0.00038306170775874074,4,augx_exit_take_profit_tp3,overnight
2026-05-07 07:07:00+00:00,2026-05-07 07:11:00+00:00,LONG,28764.75,28786.0,0.0007387514231828887,4,augx_exit_take_profit_tp3,london
2026-05-07 23:09:00+00:00,2026-05-07 23:43:00+00:00,LONG,28629.75,28651.0,0.0007422349129838717,34,augx_exit_take_profit_tp3,overnight
2026-05-08 01:06:00+00:00,2026-05-08 04:10:00+00:00,LONG,28764.75,28784.0,0.0006692218774715581,174,augx_exit_take_profit_tp3,overnight
2026-05-08 08:09:00+00:00,2026-05-08 09:02:00+00:00,LONG,28850.0,28870.75,0.0007192374350086655,53,augx_exit_take_profit_tp3,london
2026-05-10 23:02:00+00:00,2026-05-10 23:08:00+00:00,LONG,29304.5,29327.0,0.0007678001672098142,6,augx_exit_take_profit_tp3,overnight
2026-05-11 02:30:00+00:00,2026-05-11 06:31:00+00:00,LONG,29360.0,29341.0,-0.0006471389645776567,240,augx_exit_max_hold,overnight
2026-05-11 08:52:00+00:00,2026-05-11 09:05:00+00:00,LONG,29305.75,29325.25,0.0006653984286360185,13,augx_exit_take_profit_tp3,london
2026-05-11 22:20:00+00:00,2026-05-11 22:44:00+00:00,LONG,29435.0,29451.25,0.000552063869543061,24,augx_exit_take_profit_tp3,overnight
2026-05-12 00:54:00+00:00,2026-05-12 05:04:00+00:00,LONG,29389.25,29297.0,-0.003138902830116454,240,augx_exit_max_hold,overnight
2026-05-13 22:03:00+00:00,2026-05-13 22:16:00+00:00,LONG,29552.0,29567.25,0.0005160395235517055,13,augx_exit_take_profit_tp3,overnight
2026-05-13 22:46:00+00:00,2026-05-13 22:51:00+00:00,LONG,29584.25,29600.0,0.0005323778699814935,5,augx_exit_take_profit_tp3,overnight
2026-05-13 23:58:00+00:00,2026-05-14 00:17:00+00:00,LONG,29627.75,29645.75,0.0006075385407261773,19,augx_exit_take_profit_tp3,overnight
2026-05-14 00:47:00+00:00,2026-05-14 04:57:00+00:00,LONG,29686.5,29571.25,-0.00388223603321375,240,augx_exit_max_hold_post_tp1,overnight
2026-05-14 05:45:00+00:00,2026-05-14 09:45:00+00:00,LONG,29606.5,29510.25,-0.003250975292587776,240,augx_exit_max_hold_post_tp2,overnight
2026-05-15 00:30:00+00:00,2026-05-15 04:40:00+00:00,LONG,29706.0,29529.5,-0.005941560627482663,240,augx_exit_max_hold,overnight
